cityId,cityName,cityProvince
1,VIGO,PONTEVEDRA
2,A CORUNA,A CORUNA
3,OURENSE,OURENSE
4,LUGO,LUGO
5,SANTIAGO DE COMPOSTELA,A CORUNA
6,PONTEVEDRA,PONTEVEDRA
7,FERROL,A CORUNA
8,NARON,A CORUNA
9,VILAGARCIA DE AROUSA,PONTEVEDRA
10,OLEIROS,A CORUNA
11,ARTEIXO,A CORUNA
12,CARBALLO,A CORUNA
13,AMES,A CORUNA
14,CULLEREDO,A CORUNA
15,REDONDELA,PONTEVEDRA
16,RIBEIRA,A CORUNA
17,CANGAS,PONTEVEDRA
18,MARIN,PONTEVEDRA
19,CAMBRE,A CORUNA
20,PONTEAREAS,PONTEVEDRA
21,A ESTRADA,PONTEVEDRA
22,LALIN,PONTEVEDRA
23,O PORRINO,PONTEVEDRA
24,MOANA,PONTEVEDRA
25,BOIRO,A CORUNA
26,MONFORTE DE LEMOS,LUGO
27,TEO,A CORUNA
28,NIGRAN,PONTEVEDRA
29,SANXENXO,PONTEVEDRA
30,POIO,PONTEVEDRA
